"type_maison","commodites","localite","loyer","telephone","date_publication"
"chambre salon","douche interne, plafonne, ventile","tanghin","30000","79 31 67 00","2023-11-17"
"mini villa","2 chambres, cour unique, cuisine, douche","zoodnoma","250000","74 05 32 53","2023-11-17"
"villa","ventilé, Carrellé","tanghin","30000","69 01 07 75","2023-11-17"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","kilwin","40000","69 01 07 75","2023-11-17"
"villa","3 chambres, cuisine, douche","cité azimo","110000","70 36 73 03","2023-11-17"
"villa","ventilé, Carrellé","tanghin","30000","79 31 67 00","2023-11-17"
"chambre salon","carrele, cuisine, plafonne, ventilee, vitre","cité azimo","30000","76 62 04 10","2023-11-17"
"chambre salon","carrelee, cour unique, cuisine, douche, plafonnee, ventilee","kossodo","300000","76 95 75 40","2023-11-16"
"chambre salon","carrele, cuisine, douche, plafonne","kamboincé","40000","70 19 44 35","2023-11-16"
"villa","auvent, carrele, climatisee, courunique, cuisine, douche, garage, placards, plafonne, ventile, vitre","toeghin","200000","69 01 07 75","2023-11-16"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","tanghin","45000","79 31 67 00","2023-11-16"
"villa","ventilé, Carrellé","tanghin","17500","79 31 67 00","2023-11-16"
"chambre salon","auvent, carrele, courcommune, douche, plafonne, ventile, vitre","kamboincé","35000","69 01 07 75","2023-11-16"
"villa","carrele, ventile","tanghin","17500","74 92 19 26","2023-11-16"
"villa","plafonne, ventile","tanghin","17500","79 31 67 00","2023-11-16"
"chambre salon","auvent, carrele, courcommune, douche interne, plafonne, ventile, vitre","rimkiéta","30000","69 01 07 75","2023-11-16"
"mini villa","2 chambres, cuisine, douche","nagrin","70000","74 05 32 53","2023-11-16"
"villa","ventilé, Carrellé","tampouy","75000","70 36 73 03","2023-11-16"
"mini villa","cuisine, douche, placard","cité azimo","50000","74 05 32 53","2023-11-16"
"mini villa","2 chambres, cuisine, douche","zoodnoma","100000","74 05 32 53","2023-11-16"
"villa","ventilé, Carrellé","tampouy","200000","07 44 69 24","2023-11-16"
"villa","ventilé, Carrellé","pissy","98000","67 84 90 07","2023-11-15"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","tanghin","45000","79 31 67 00","2023-11-15"
"chambre salon","carrelee, cour commune, douche interne, plafonnee","tampouy","25000","62 88 38 82","2023-11-15"
"chambre salon","auvent, carrele, courcommune, douche interne, plafonne, ventile, vitre","pissy","37500","69 01 07 75","2023-11-15"
"maison","ventilé, Carrellé","tanghin","100000","73 42 22 22","2023-11-15"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","rimkiéta","90000","69 01 07 75","2023-11-15"
"chambre salon","carrele, courcommune, douche interne, plafonne, ventile, vitre","tampouy","30000","69 01 07 75","2023-11-15"
"chambre salon","cour unique","kamboincé","45000","","2023-11-15"
"chambre salon","cour unique","kamboincé","45000","","2023-11-15"
"chambre salon","cour unique, douche, garage, placard","cité azimo","25000","74 05 32 53","2023-11-15"
"chambre salon","douche, plafonne, ventile","tanghin","40000","79 31 67 00","2023-11-15"
"villa","ventilé, Carrellé","université de ouagadougou","650000","67 84 90 07","2023-11-15"
"mini villa","2 chambres, cuisine, douche, garage, placard","zoodnoma","150000","74 05 32 53","2023-11-15"
"villa","ventilé, Carrellé","zone une","17500","79 31 67 00","2023-11-12"
"villa","plafonne, ventile","sakoula","60000","79 31 67 00","2023-11-14"
"chambre salon","carrele, courcommune, douche interne, plafonne, vitre","tanghin","25000","69 01 07 75","2023-11-14"
"chambre salon","carrele, courcommune, douche interne, plafonne","gandin","35000","69 01 07 75","2023-11-14"
"villa","5 chambres, climatise, cuisine, douche","université de ouagadougou","900000","74 05 32 53","2023-11-14"
"chambre salon","douche, plafonne, ventile, vitre","tanghin","30000","79 31 67 00","2023-11-14"
"villa","plafonne","tanghin","15000","79 31 67 00","2023-11-06"
"chambre salon","plafonne, ventile","sakoula","17900","61 05 65 95","2023-11-13"
"chambre salon","climatise, cuisine, douche, garage, placard, plafonne","tanghin","100000","79 31 67 00","2023-11-13"
"chambre salon","carrelee, cour commune, douche interne, plafonnee, ventilee","tampouy","32500","76 95 75 40","2023-11-13"
"duplex","05 chambres, climatisee, cuisine, douche, garage, jardin, placard","balkuy","700000","62 84 18 39","2023-11-13"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile","pissy","60000","69 01 07 75","2023-11-13"
"mini villa","2 chambres, climatise, cuisine, douche","garghin","100000","74 05 32 53","2023-11-13"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","kouritenga","40000","69 01 07 75","2023-11-13"
"chambre salon","carrele, courcommune, douche, plafonne, ventile, vitre","cité azimo","35000","69 01 07 75","2023-11-13"
"chambre salon","carrele, cuisine, plafonne, ventilee, vitre","université de ouagadougou","70000","76 62 04 10","2023-11-13"
"chambre salon","carrele, cuisine, plafonne, ventilee, vitre","cité azimo","65000","76 62 04 10","2023-11-13"
"chambre salon","douche interne, plafonne","tanghin","20000","79 31 67 00","2023-11-12"
"chambre salon","auvent, carrele, courcommune, douche, plafonne, ventile, vitre","kamboincé","35000","69 01 07 75","2023-11-12"
"chambre salon","cour commune, cuisine, douche","tanghin","50000","74 92 19 26","2023-11-12"
"chambre salon","cuisine, douche, plafonne, ventile","tanghin","50000","79 31 67 00","2023-11-12"
"chambre salon","plafonne","tanghin","25000","79 31 67 00","2023-11-11"
"chambre salon","climatise, cuisine, douche, plafonne, ventile, vitre","sakoula","125000","79 31 67 00","2023-11-11"
"chambre salon","cuisine, douche","bonheur-ville","45000","74 05 32 53","2023-11-11"
"villa","03 chambres, cour unique, cuisine, douche, garage, placard, vitre","cité azimo","85000","77 87 02 89","2023-11-11"
"chambre salon","cuisine, plafonne, ventile, vitre","sakoula","17900","61 05 65 95","2023-11-11"
"chambre salon","climatisee, cour unique, cuisine, garage, plafonnee, ventilee","sakoula","75000","78 04 73 26","2023-11-11"
"villa","ventilé, Carrellé","bassinko","75000","07 44 69 24","2023-11-11"
"villa","3 chambres, carrele, cuisine, plafonne, vitre","université de ouagadougou","22600","52 54 00 48","2023-11-11"
"chambre salon","carrele, courcommune, douche interne, plafonne, ventile, vitre","tampouy","35000","69 01 07 75","2023-11-11"
"mini villa","02 chambres, cour unique, cuisine, douche, garage, ventile","tampouy","074469","07 44 69 24","2023-11-11"
"villa","ventilé, Carrellé","toeghin","17500","79 31 67 00","2023-11-11"
"chambre salon","cour commune, douche","sakoula","35000","74 05 32 53","2023-11-11"
"chambre salon","douche interne","tanghin","20000","79 31 67 00","2023-11-09"
"chambre salon","cour commune, douche interne, plafonne","sakoula","22500","62 88 38 82","2023-11-03"
"chambre salon","cuisine, douche","sakoula","45000","74 05 32 53","2023-11-10"
"chambre salon","cuisine, douche, garage, plafonne, ventile","tanghin","80000","79 31 67 00","2023-11-10"
"chambre salon","cuisine, douche, garage, plafonne, ventile","tanghin","80000","79 31 67 00","2023-11-10"
"mini villa","02 chambres, cour unique, cuisine, douche, garage, ventile","tanghin","125000","07 44 69 24","2023-11-10"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tampouy","35000","69 01 07 75","2023-11-10"
"chambre salon","ventile","kamboincé","20000","07 44 69 24","2023-11-10"
"chambre salon","cour commune, cuisine, douche, ventilee","kamboincé","45000","62 88 38 82","2023-11-10"
"mini villa","carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","65000","69 01 07 75","2023-11-10"
"chambre salon","climatisee, cour unique, cuisine, garage, plafonnee, ventilee","sakoula","75000","78 04 73 26","2023-11-10"
"chambre salon","cour unique, cuisine, douche, ventile, vitre","kamboincé","65000","62 88 38 82","2023-11-10"
"chambre salon","cour unique, cuisine, douche, ventile, vitre","kamboincé","65000","62 88 38 82","2023-11-10"
"villa","5 chambres, climatise, cour unique, douche, garage, jardin, placard","kossodo","35000","74 05 32 53","2023-11-10"
"villa","ventilé, Carrellé","kouritenga","65000","67 84 90 07","2023-11-10"
"villa","ventilé, Carrellé","kossodo","15000","79 03 04 58","2023-11-09"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","60000","69 01 07 75","2023-11-09"
"chambre salon","cour commune, cuisine, douche, eau courante, vitre","kouritenga","50000","77 87 02 89","2023-11-09"
"chambre salon","cour commune, cuisine, douche, eau courante, vitre","kouritenga","50000","77 87 02 89","2023-11-09"
"chambre salon","carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","30000","69 01 07 75","2023-11-09"
"chambre salon","carrele, courcommune, plafonne","gandin","25000","69 01 07 75","2023-11-09"
"villa","auvent, carrele, climatisee, courunique, cuisine, douche, garage, placards, plafonne, ventile, vitre","sambin barrage","250000","69 01 07 75","2023-11-09"
"chambre salon","carrele, courcommune, douche, plafonne, vitre","tanghin","35000","69 01 07 75","2023-11-09"
"chambre salon","douche interne, plafonne, ventile","tanghin","40000","79 31 67 00","2023-11-08"
"mini villa","03 chambres, cour unique, cuisine, douche, eau courante, garage, vitre","kouritenga","700000","77 87 02 89","2023-11-08"
"chambre salon","douche, plafonne, ventile","tanghin","30000","79 31 67 00","2023-11-08"
"mini villa","02 chambres, cour unique, cuisine, douche, eau courante, vitre","kouritenga","110000","73 90 69 01","2023-11-08"
"mini villa","02 chambres, cour unique, cuisine, douche, eau courante, vitre","kouritenga","110000","73 90 69 01","2023-11-08"
"villa","carrele, plafonne, ventile, vitre","ouidi","50000","69 01 07 75","2023-11-08"
"mini villa","auvent, courunique, cuisine, douche, garage","tanghin","70000","69 01 07 75","2023-11-08"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","pissy","45000","69 01 07 75","2023-11-08"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","40000","69 01 07 75","2023-11-08"
"chambre salon","carrele, courcommune, douche, plafonne, ventile, vitre","tanghin","35000","69 01 07 75","2023-11-08"
"mini villa","2 chambres, cuisine, douche, garage","belle-ville","85000","74 05 32 53","2023-11-08"
"maison","ventilé, Carrellé","sakoula","155000","67 84 90 07","2023-11-08"
"chambre salon","climatise, cuisine, douche, garage, placards","cité azimo","100000","74 05 32 53","2023-11-08"
"villa","ventilé, Carrellé","rotonde","25000","62 84 18 39","2023-11-07"
"chambre salon","carrele, plafonne","rimkiéta","25000","76 62 04 10","2023-11-07"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","sambin barrage","125000","69 01 07 75","2023-11-07"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","90000","69 01 07 75","2023-11-07"
"mini villa","2 chambres, cuisine, douche, placard","zoodnoma","75000","74 05 32 53","2023-11-07"
"villa","ventilé, Carrellé","dapoya1","200000","71 49 68 28","2023-11-07"
"villa","ventilé, Carrellé","kouritenga","25000","62 84 18 39","2023-11-07"
"villa","ventilé, Carrellé","sakoula","45000","","2023-11-07"
"chambre salon","cour commune, cuisine, douche","marcoussis","30000","70 36 73 03","2023-11-07"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","kamboincé","35000","69 01 07 75","2023-11-06"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tampouy","40000","69 01 07 75","2023-11-06"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","kamboincé","35000","69 01 07 75","2023-11-06"
"chambre salon","climatise, cuisine, douche, garage","université de ouagadougou","200000","66 64 68 61","2023-11-06"
"villa","ventilé, Carrellé","kouritenga","20000","64 64 52 20","2023-11-06"
"chambre salon","cour commune, cuisine, douche","garghin","30000","74 05 32 53","2023-11-06"
"chambre salon","ventilé, Carrellé","garghin","500000","74 05 32 53","2023-11-06"
"chambre salon","cuisine, douche, garage, plafonne","tanghin","150000","79 31 67 00","2023-11-06"
"mini villa","2 chambres, cour unique, cuisine, douche, garage, ventile, vitre","sambin barrage","250000","66 92 73 75","2023-11-06"
"chambre salon","cour commune, douche interne","kouritenga","30000","66 92 73 75","2023-11-06"
"chambre salon","cour commune, cuisine, douche, plafonne, ventile, vitre","rayongo","35000","64 64 52 20","2023-11-06"
"chambre salon","cuisine, douche","zone une","200000","","2023-11-06"
"chambre salon","cuisine, douche","zone une","200000","","2023-11-06"
"mini villa","2 chambres, climatise, cuisine, douche","pissy","125000","74 05 32 53","2023-11-06"
"chambre salon","cuisine, douche","kossodo","150000","74 05 32 53","2023-11-06"
"chambre salon","cuisine, douche, ventile, vitre","sakoula","50000","66 92 73 75","2023-11-06"
"chambre salon","chauffe eau, cuisine, douche, garage","kouritenga","150000","66 92 73 75","2023-11-05"
"villa","ventilé, Carrellé","kouritenga","22600","𝟱𝟰 𝟬𝟵 𝟵𝟮 𝟯𝟬","2023-11-05"
"chambre salon","cuisine, douche, garage","cité azimo","80000","64 64 52 20","2023-11-05"
"mini villa","auvent, carrele, climatisee, courunique, cuisine, douche, garage, placards, plafonne, ventile, vitre","tanghin","125000","69 01 07 75","2023-11-05"
"chambre salon","carrele, courcommune, plafonne","sakoula","20000","69 01 07 75","2023-11-05"
"chambre salon","carrele, courcommune, plafonne","sakoula","20000","69 01 07 75","2023-11-05"
"chambre salon","carrelee, courunique, douche interne, garage, plafonne","sakoula","50000","69 01 07 75","2023-11-05"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","60000","69 01 07 75","2023-11-05"
"chambre salon","douche, ventile","kouritenga","40000","66 92 73 75","2023-11-05"
"chambre salon","cour commune, cuisine, douche","marcoussis","30000","70 36 73 03","2023-11-05"
"mini villa","2 chambres, cuisine, douche, placard","kankamsin","100000","74 05 32 53","2023-11-05"
"chambre salon","cour unique","tanghin","22600","62 84 18 39","2023-11-04"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","50000","69 01 07 75","2023-11-04"
"chambre salon","climatisee, cour unique, cuisine, douche","cité azimo","100000","70 36 73 03","2023-11-04"
"chambre salon","cour commune, cuisine, douche, plafonne, ventile, vitre","rayongo","35000","64 64 52 20","2023-12-12"
"villa","3 chambres, climatise, cuisine, douche","cité azimo","250000","74 05 32 53","2023-12-12"
"maison","3 chambres, carrele, climatisee, cuisine, douche, garage, placards, plafonne, ventile, vitre","kouritenga","200000","74 05 32 53","2023-11-04"
"chambre salon","carrele, cour commune, cuisine, douche, placard, plafonne, ventile, vitre","rayongo","50000","74 05 32 53","2023-11-04"
"villa","ventilé, Carrellé","kamboincé","250000","65 45 16 55","2023-11-04"
"mini villa","2 chambres, cuisine, douche","zoodnoma","75000","74 05 32 53","2023-11-04"
"chambre salon","cour commune, cuisine, douche, ventile, vitre","belle-ville","40000","66 92 73 75","2023-11-04"
"chambre salon","auvent, cour commune, cuisine, douche, ventile, vitre","kamboincé","35000","62 88 38 82","2023-11-04"
"chambre salon","cour commune, douche","kamboincé","30000","70 36 73 03","2023-11-04"
"chambre salon","cour unique, ventilee, vitree","tampouy","35000","70 36 73 03","2023-11-04"
"villa","plafonne","tampouy","15000","65 45 16 55","2023-10-28"
"villa","ventilé, Carrellé","tanghin","40000","79 31 67 00","2023-11-03"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","nagrin","50000","69 01 07 75","2023-11-03"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","toeghin","35000","69 01 07 75","2023-11-03"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","sakoula","70000","69 01 07 75","2023-11-03"
"chambre salon","cour unique, cuisine, douche, placard","kamboincé","75000","62 88 38 82","2023-11-03"
"chambre salon","cour unique, cuisine, douche, placard","kamboincé","75000","62 88 38 82","2023-11-03"
"chambre salon","cour unique, cuisine, douche, placard","kamboincé","75000","62 88 38 82","2023-11-03"
"chambre salon","cour commune, cuisine, douche, garage, plafonne, ventile","kamboincé","628838","62 88 38 82","2023-11-02"
"chambre salon","cuisine, douche","nabitenga","35000","74 05 32 53","2023-11-03"
"villa","ventilé, Carrellé","kossodo","100000","66 92 73 75","2023-11-02"
"chambre salon","auvent, carrele, chauffe eau, cour commune, cuisine, douche, plafonne, ventilee, vitre","garghin","50000","74 05 32 53","2023-11-02"
"mini villa","2 chambres, climatise, cuisine, douche, placard","zoodnoma","200000","74 05 32 53","2023-11-02"
"villa","2 chambres, cuisine, douche","cité azimo","150000","74 05 32 53","2023-11-02"
"villa","douche","kossodo","150000","66 92 73 75","2023-11-02"
"chambre salon","cour commune, cuisine, douche","tampouy","60000","70 36 73 03","2023-11-02"
"chambre salon","cuisine, douche","nabitenga","50000","74 05 32 53","2023-11-02"
"mini villa","2 chambres, cuisine, douche","zoodnoma","75000","74 05 32 53","2023-11-02"
"chambre salon","auvent, cour commune, douche, ventile, vitre","kouritenga","50000","66 92 73 75","2023-11-02"
"chambre salon","cuisine, douche, plafonne, ventile","kouritenga","50000","66 92 73 75","2023-11-02"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tampouy","45000","69 01 07 75","2023-11-02"
"chambre salon","auvent, cour commune, douche, ventile, vitre","kouritenga","60000","66 92 73 75","2023-11-02"
"chambre salon","cuisine, douche, ventile, vitre","bonheur-ville","35000","66 92 73 75","2023-11-02"
"chambre salon","carrele, courcommune, douche, placards, plafonne, ventile, vitre","tanghin","30000","69 01 07 75","2023-11-02"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","25000","69 01 07 75","2023-11-01"
"chambre salon","carrele, cour commune, plafonne, vitre","saint léon","50000","66 92 73 75","2023-11-01"
"villa","ventilé, Carrellé","kamsonghin","700000","62 84 18 39","2023-11-01"
"chambre salon","cuisine, douche, ventile, vitre","kankamsin","125000","66 92 73 75","2023-11-01"
"chambre salon","cuisine, douche, ventile","kouritenga","200000","66 92 73 75","2023-11-01"
"chambre salon","cuisine, douche, garage, placard, plafonne, ventile","sambin barrage","75000","79 31 67 00","2023-11-01"
"chambre salon","cour unique, cuisine, douche, garage","wayalghin","75000","70 36 73 03","2023-11-01"
"chambre salon","cuisine, douche, ventile, vitre","sakoula","50000","66 92 73 75","2023-11-01"
"chambre salon","cour commune, plafonnee, ventilee","toeghin","30000","66 92 73 75","2023-11-01"
"chambre salon","carrele, courunique, cuisine, douche interne, plafonne, ventile","toeghin","70000","69 01 07 75","2023-11-01"
"chambre salon","carrele, cour unique, cuisine, douche, garage, plafonne, vitre","sakoula","150000","66 92 73 75","2023-11-01"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile","sakoula","25000","69 01 07 75","2023-11-01"
"chambre salon","douche, plafonne","université de ouagadougou","40000","66 92 73 75","2023-11-01"
"chambre salon","cuisine, douche, ventile, vitre","pissy","100000","","2023-11-01"
"chambre salon","carrelee, cour commune, douche interne, plafonnee, vitree","kouritenga","30000","66 92 73 75","2023-11-01"
"villa","2 chambres, cuisine, douche","cité azimo","150000","74 05 32 53","2023-11-01"
